allignment,topic,survey_1,question_1,survey_2,question_2,notes
no equivalent,,,,N2W,transportation_busline,
no equivalent,,,,N2W,transportation_caraccess,
no equivalent,,,,N2W,transportation_carinspection,
no equivalent,,,,N2W,transportation_carloan,
no equivalent,,,,N2W,transportation_carregistration,
no equivalent,,,,N2W,transportation_owncar,
no equivalent,,,,N2W,transportation_reliableride,
no equivalent,,,,N2W,transportation_walkweather,
no equivalent,,,,N2W,transportation_whysuspended,
no equivalent,,,,N2W,veteran_benfits,
no equivalent,,,,N2W,veteran_dischargestatus,
no equivalent,,,,N2W,veteran_last48,
no equivalent,,,,N2W,wage_date,
no equivalent,,,,N2W,wages,
no equivalent,,,,N2W,wellbeing_ladder,
no equivalent,,,,N2W,wellbeing_social,
no equivalent,,,,N2W,work_fulltime,
no equivalent,,,,N2W,work_unemploybenefits,
no equivalent,,,,N2W,work_unemploylength,
